src,dst,d_trust,i_trust,frd_sim,grp_sim
1,1,0.0,0.0,0.0,0.0
1,2,0.935667348,0.0,0.0,0.15
1,3,0.0,0.0,0.0,0.75
1,4,0.0,0.0,0.0,0.75
1,5,0.0,0.0,0.0,0.75
1,6,0.0,0.0,0.0,0.75
1,7,0.0,0.0,0.0,0.75
1,8,0.636529714,0.0,0.0,0.75
1,9,0.743186702,0.0,0.0,0.1
1,10,0.0,0.0,0.3333333333333333,0.75
1,11,0.0,0.0,0.0,0.42857142857142855
1,12,0.950514748,0.0,0.0,0.42857142857142855
1,13,0.0,0.0,0.0,0.15
1,14,0.168328606,0.0,0.0,0.3333333333333333
1,15,0.0,0.0,0.0,0.75
1,16,0.563896936,0.0,0.0,0.75
1,17,0.704230213,0.0,0.0,0.75
1,18,0.55729535,0.0,0.0,0.375
1,19,0.873164736,0.0,0.0,0.75
1,20,0.753749202,0.0,0.0,0.3
1,21,0.0,0.0,0.0,0.75
1,22,0.400606013,0.0,0.0,0.6
1,23,0.989323734,0.0,0.0,0.14285714285714285
1,24,0.781444004,0.0,0.0,0.12
1,25,0.659848034,0.0,0.0,0.15789473684210525
1,26,0.0,0.0,0.0,0.75
1,27,0.527904145,0.0,0.0,0.15
1,28,0.693945041,0.0,0.0,0.75
1,29,0.0,0.0,0.0,0.75
1,30,0.150601648,0.0,0.0,0.75
1,31,0.75083401,0.0,0.0,0.3333333333333333
1,32,0.754871118,0.0,0.0,0.75
1,33,0.0,0.0,0.0,0.75
1,34,0.430425073,0.0,0.0,0.0196078431372549
1,35,0.998593599,0.0,0.0,0.075
1,36,0.0,0.0,0.0,0.3333333333333333
1,37,0.637334883,0.0,0.0,0.75
1,38,0.510101242,0.0,0.0,0.1875
1,39,0.0,0.0,0.0,0.11538461538461539
1,40,0.68046582,0.0,0.0,0.23076923076923078
1,41,0.0,0.0,0.0,0.75
1,42,0.578708184,0.0,0.0,0.75
1,43,0.528537067,0.0,0.0,0.75
1,44,0.928466874,0.0,0.0,0.5
1,45,0.895371103,0.0,0.0,0.0
1,46,0.0,0.0,0.0,0.08823529411764706
1,47,0.900496501,0.0,0.0,0.3333333333333333
1,48,0.0,0.0,0.0,0.075
1,49,0.665002035,0.0,0.0,0.10344827586206896
1,50,0.0,0.0,0.0,0.3333333333333333
1,51,0.672322662,0.0,0.0,0.25
1,52,0.0,0.0,0.0,0.6
1,53,0.273559112,0.0,0.0,0.75
1,54,0.0,0.0,0.0,0.15789473684210525
1,55,0.764365423,0.0,0.0,0.5
1,56,0.807072748,0.0,0.0,0.5
1,57,0.744519066,0.0,0.0,0.03409090909090909
1,58,0.541343607,0.0,0.0,0.75
1,59,0.813450866,0.0,0.0,0.3
1,60,0.0,0.0,0.0,0.12
1,61,0.0,0.0,0.0,0.08823529411764706
1,62,0.474874483,0.0,0.0,0.6
1,63,0.034191087,0.0,0.0,0.1111111111111111
1,64,0.0,0.0,0.0,0.03409090909090909
